<<<<<<< HEAD
plot,year,Aulacomnium palustre,Barbilophozia barbata,Barbilophozia floerkei,Barbilophozia hatcheri,Barbilophozia kunzeana,Barbilophozia lycopodioides,Barbilophozia sp.,Bartramia ityphylla,Blepharostoma trichophyllum,Sciuro-hypnum glaciale,Sciuro-hypnum oedipodium,Sciuro-hypnum reflexum,Brachythecium salebrosum,Sciuro-hypnum starkei,"Sciuro-hypnum starkei, Sciuro-hypnum reflexum, Coll.",Bryum pseudotriquetum,Bryum sp.,Calypogeia muelleriana,Campylium stellatum,Cephalozia bicuspidata,Cephalozia lunulifolia,Cephalozia pleniceps,"Cephalozia lunulifolia, Cephalozia pleniceps, Coll.",Cephaloziella sp.,Lophocolea bidentata,Chiloscyphus polyantos,Chiloscyphus profundus,Climacium dendroides,Tortula euryphylla ,Dicranum fuscescens/flexicaule,Dicranum flexicaule,Dicranum fuscescens,Dicranum majus,Dicranum scoparium,Dicranum spadiceum,Grimmia anomala,Geocalyx graveolens,Harpanthus flotovianus,Heterocladium dimorphum,Hylocomiastrum pyrenaicum,Hylocomiastrum umbratum,Hylocomium splendens,Pseudoleskea incurvata,Ptychodium plicatum,Pseudoleskea radicosa,Lescuraea saxicola,Lescuarea sp.,Leiocolea badensis,Leiocolea heterocolpos,Lophozia longidens,Lophozia obtusa,Lophozia silvicola,Lophozia sudetica,Lophozia ventricosa,Lophozia wenzelii,Lophozia sp,Marchantia polymorpha,Moerckia blyttii,Mnium coll.,Mnium spinosum,Mnium ambiguum,Myurella julacea,Oncophorus virens,Pellia sp.,Philonotis fontana,Plagiochila aspenoides,Plagiochila porelloides,Plagiomnium affine,Plagiothecium denticulatum,Plagiothecium nemorale,Plagiothecium platyphyllum,Plagiothecium succulentum,Pleurozium schreberi,Pohlia cruda,Pohlia drummondii,Pohlia nutans,Pohlia sp.,Polytrichastrum alpinum,Polytrichum commune,Polytrichum hyperborum,Polytrichum juniperinum,Polytricum piliferum,Polytrichum strictum,Porella cordaeana,Ptilidium ciliare,Racomitrium canescens ssp. latifolius,Racomitrium elongatum,Racomitrium sp.,Rhizomnium punctatum,Rhodobryum roseum,Rhytidiadelphus squarrosus,Sanionia uncinata,Scapania irrigua,Scapania paludicola,Scapania paludosa,Sphagnum capilifolium,Sphagnum riparium,Sphagnum russowii,Sphagnum tenellum,Sphagnum warnstorfii,Straminergon stramineum,Syntrichia ruralis,Tetraplodon pallidus,Tortella tortuosa,Tortula euryphylla,Tortula hoppeana,Tritomaria quinquedentata,Cover mosses,Cover lichens,Bare soil,,,,,,,,,,,,
I11,2005,,,,,,3,,,,,,15,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I12,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13,2005,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,13,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I14,2005,16,,,,,,,,,,,,,,,4,,,9,,,,,,,,,,,,,,,,,,,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,16,,,,,,,,,,,,,14,,5,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
I15,2005,,,1,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,2,,,,,,,9,,11,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
I16,2005,,,,,,16,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,8,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I17,2005,,,,,,8,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I18,2005,,,1,,,15,,,,,,,,4,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I19,2005,,5,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,15,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I20,2005,,,1,,,15,,,,,,11,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,2011,,,2,1, ,16,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,2011,,,3,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,,,,1,,,,,,,,,7,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,2011,,,1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,2011,,,1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,4,,,11,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,2011,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,14,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,2011,11,,,,,11,,,,,,9,,,,3,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
A7,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8,2011,,,2,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9,2011,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10,2011,,,6,,,14,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,2011,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A13,2011,4,,1,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,15,,,2,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14,2011,,,15,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A15,2011,,,,,,14,,,,,,15,,,,11,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,2011,,,15,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,2011,,,,,,16,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A19,2011,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,2011,,,13,,,13,,,,,,2,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,16,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,2011,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,2011,,,14,,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,6,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,12,,,3,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,2011,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,2011,,,,,,10,,,,,,4,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6,2011,,,,,,14,,,,,,16,1,,,,,,,,,,,,,,,,1,,,,,8,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,2011,,,3,,,13,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,,,,2,,,,,15,,,,,,15,,,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,
B8,2011,,,5,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9,2011,9,,11,,,13,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,15,,,,,14,,,,,,16,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B10,2011,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12,2011,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13,2011,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B14,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B15,2011,,,,,,12,,,,,,16,14,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,16,,,6,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
B16,2011,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B17,2011,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B18,2011,,,,,,14,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B19,2011,,,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B20,2011,,,,,,8,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,14,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,,,,,1,,,7,,,,,,,,,,,5,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
B21,2011,,,,,,16,,,,,,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,2011,,,3,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,8,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,2011,,,1,,,14,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,12,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,2011,,,14,7,,11,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,15,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,2011,,,,,,15,,,,,,12,3,,,,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,2011,,,16,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,12,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,2011,,,,,,2,,,,,,16,1,,,,1,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,2011,,,,,,15,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9,2011,,,,,,7,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10,2011,,,1,,,14,,,,,,14,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11,2011,,,4,,,15,,,,,,7,,13,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12,2011,,,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,1,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C13,2011,,,,,,11,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C14,2011,,,15,,,14,,,,,,7,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C15,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16,2011,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C17,2011,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C18,2011,10,,1,,,15,,,,,,,,,,,,,,,,,,,,,,2,,,,,,10,,,,,,3,,16,,,,,,,,,7,,,5,,,1,,,,2,,,,,,1,,,2,,,,,,,,,13,,,,,,1,,,,,2,,,,4,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,
C19,2011,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C20,2011,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C110,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,2011,,,16,,,15,,,,,,6,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,2011,,,1,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,2011,,,15,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,2011,,,16,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,8,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
D5,2011,5,,,,,9,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,6,,,,,,14,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,2011,,,,7,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,2011,,,,,,12,,,,,,,,,,,,,,1,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D8,2011,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9,2011,,,,,,6,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,13,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D10,2011,,,,,,8,,,,,,9,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D11,2011,1,,,,,15,,,,,,1,10,,,1,,,,,,,,,,,,,,,,,,,,,14,7,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,13,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D12,2011,,,,,,1,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,3,,,,8,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
D13,2011,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,5,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D14,2011,,,,,,11,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D15,2011,,,1,,,15,,,,,,13,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D16,2011,,,14,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,9,,,3,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D17,2011,,,1,,,16,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,13,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D18,2011,,,,,,8,,,,,,9,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D19,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,9,1,,,16,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
D20,2011,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,5,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,2011,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,2011,,,11,,,16,,,,,,11,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
